,book,character
0,Category:The Lightning Thief characters,Alecto
1,Category:The Lightning Thief characters,Annabeth Chase
2,Category:The Lightning Thief characters,Ares
3,Category:The Lightning Thief characters,Argus
4,Category:The Lightning Thief characters,Barbara Walters
5,Category:The Lightning Thief characters,Big Three
6,Category:The Lightning Thief characters,Bobby Chase
7,Category:The Lightning Thief characters,Nancy Bobofit
8,Category:The Lightning Thief characters,Luke Castellan
9,Category:The Lightning Thief characters,Castor
10,Category:The Lightning Thief characters,Centaur
11,Category:The Lightning Thief characters,Cerberus
12,Category:The Lightning Thief characters,Charon
13,Category:The Lightning Thief characters,Chimera
14,Category:The Lightning Thief characters,Chiron
15,Category:The Lightning Thief characters,Darrin
16,Category:The Lightning Thief characters,Dionysus
17,Category:The Lightning Thief characters,Dryad
18,Category:The Lightning Thief characters,Echidna
19,Category:The Lightning Thief characters,Eddie
20,Category:The Lightning Thief characters,Eddie (smuggler)
21,Category:The Lightning Thief characters,Elevator Security Guard
22,Category:The Lightning Thief characters,Fates
23,Category:The Lightning Thief characters,Ferdinand Underwood
24,Category:The Lightning Thief characters,Frederick Chase
25,Category:The Lightning Thief characters,Furies
26,Category:The Lightning Thief characters,Gabe Ugliano
27,Category:The Lightning Thief characters,Ghoul
28,Category:The Lightning Thief characters,Gladiola
29,Category:The Lightning Thief characters,Gorgon
30,Category:The Lightning Thief characters,Grover Underwood
31,Category:The Lightning Thief characters,Hades
32,Category:The Lightning Thief characters,Hellhound
33,Category:The Lightning Thief characters,Hermes
34,Category:The Lightning Thief characters,Hestia
35,Category:The Lightning Thief characters,Sally Jackson
36,Category:The Lightning Thief characters,Kronos
37,Category:The Lightning Thief characters,Clarisse La Rue
38,Category:The Lightning Thief characters,Lotus Eaters
39,Category:The Lightning Thief characters,Matthew Chase
40,Category:The Lightning Thief characters,Maurice
41,Category:The Lightning Thief characters,Mechanical Spider
42,Category:The Lightning Thief characters,Medusa
43,Category:The Lightning Thief characters,Megaera
44,Category:The Lightning Thief characters,Minotaur
45,Category:The Lightning Thief characters,Mr. Nicoll
46,Category:The Lightning Thief characters,Mrs. Chase
47,Category:The Lightning Thief characters,Mrs. Kerr
48,Category:The Lightning Thief characters,Muses
49,Category:The Lightning Thief characters,Naiad
50,Category:The Lightning Thief characters,Nereid
51,Category:The Lightning Thief characters,Olympians
52,Category:The Lightning Thief characters,Oracle of Delphi
53,Category:The Lightning Thief characters,Pasiphaë
54,Category:The Lightning Thief characters,Percy Jackson
55,Category:The Lightning Thief characters,Pit Scorpion
56,Category:The Lightning Thief characters,Pollux
57,Category:The Lightning Thief characters,Poseidon
58,Category:The Lightning Thief characters,Procrustes
59,Category:The Lightning Thief characters,Searcher
60,Category:The Lightning Thief characters,Sisyphus
61,Category:The Lightning Thief characters,Sugar
62,Category:The Lightning Thief characters,Tartarus (primordial)
63,Category:The Lightning Thief characters,Terpsichore
64,Category:The Lightning Thief characters,The Oracle of Delphi (Character)
65,Category:The Lightning Thief characters,Tisiphone
66,Category:The Lightning Thief characters,Water Nymph
67,Category:The Lightning Thief characters,Zeus
68,Category:The Sea of Monsters characters,Aeneas
69,Category:The Sea of Monsters characters,Agrius
70,Category:The Sea of Monsters characters,Anger
71,Category:The Sea of Monsters characters,Annabeth Chase
72,Category:The Sea of Monsters characters,Ares
73,Category:The Sea of Monsters characters,Argus
74,Category:The Sea of Monsters characters,Athena
75,Category:The Sea of Monsters characters,Big Three
76,Category:The Sea of Monsters characters,Blackjack
77,Category:The Sea of Monsters characters,Carnivorous Sheep
